Time            N-Disp    E-Disp    U-Disp
 2002.002700      0.000      0.000      0.000
 2002.005500      0.000      0.000     -0.000
 2002.008200      0.000      0.000     -0.000
 2002.010900      0.000      0.000     -0.001
 2002.013700      0.000      0.000     -0.001
 2002.016400      0.000      0.000     -0.001
 2002.019100      0.000      0.000     -0.001
 2002.021900      0.000      0.000     -0.001
 2002.024600      0.000      0.000     -0.001
 2002.027300      0.000      0.000     -0.001
 2002.030100      0.000      0.000     -0.001
 2002.032800      0.000      0.000     -0.001
 2002.035500      0.000      0.000     -0.001
 2002.038300      0.000      0.000     -0.001
 2002.041000      0.000      0.000     -0.001
 2002.043700      0.000      0.000     -0.001
 2002.046400      0.000      0.000     -0.001
 2002.049200      0.000      0.000     -0.001
 2002.051900      0.000      0.000     -0.001
 2002.054600      0.000      0.000     -0.001
 2002.057400      0.000      0.000     -0.001
 2002.060100      0.000      0.000     -0.001
 2002.062800      0.000      0.000     -0.001
 2002.065600      0.000      0.000     -0.001
 2002.068300      0.000      0.000     -0.001
 2002.071000      0.000      0.000     -0.001
 2002.073800      0.000      0.000     -0.001
 2002.076500      0.000      0.000     -0.001
 2002.079200      0.000      0.000     -0.001
 2002.082000      0.000      0.000     -0.001
 2002.084700      0.000      0.000     -0.001
 2002.087400      0.000      0.000     -0.001
 2002.090200      0.000      0.000     -0.001
 2002.092900      0.000      0.000     -0.001
 2002.095600      0.000      0.000     -0.001
 2002.098400      0.000      0.000     -0.001
 2002.101100      0.000      0.000     -0.001
 2002.103800      0.000      0.000     -0.001
 2002.106600      0.000      0.000     -0.001
 2002.109300      0.000      0.000     -0.001
 2002.112000      0.000      0.000     -0.001
 2002.114800      0.000      0.000     -0.001
 2002.117500      0.000      0.000     -0.001
 2002.120200      0.000      0.000     -0.001
 2002.123000      0.000      0.000     -0.001
 2002.125700      0.000      0.000     -0.001
 2002.128400      0.000      0.000     -0.001
 2002.131100      0.000      0.000     -0.001
 2002.133900      0.000      0.000     -0.001
 2002.136600      0.000      0.000     -0.001
 2002.139300      0.000      0.000     -0.001
 2002.142100      0.000      0.000     -0.001
 2002.144800      0.000      0.000     -0.001
 2002.147500      0.000      0.000     -0.001
 2002.150300      0.000      0.000     -0.001
 2002.153000      0.000      0.000     -0.001
 2002.155700      0.000      0.000     -0.001
 2002.158500      0.000      0.000     -0.001
 2002.161200      0.000      0.000     -0.001
 2002.163900     -0.002      0.001     -0.010
 2002.166700     -0.002      0.001     -0.010
 2002.169400     -0.002      0.001     -0.010
 2002.172100     -0.002      0.001     -0.010
 2002.174900     -0.002      0.001     -0.010
 2002.177600     -0.002      0.001     -0.010
 2002.180300     -0.002      0.001     -0.010
 2002.183100     -0.002      0.001     -0.010
 2002.185800     -0.002      0.001     -0.010
 2002.188500     -0.002      0.001     -0.010
 2002.191300     -0.002      0.001     -0.010
 2002.194000     -0.002      0.001     -0.010
 2002.196700     -0.002      0.001     -0.010
 2002.199500     -0.002      0.001     -0.010
 2002.202200     -0.002      0.001     -0.010
 2002.204900     -0.002      0.001     -0.010
 2002.207700     -0.002      0.001     -0.010
 2002.210400     -0.002      0.001     -0.010
 2002.213100     -0.002      0.001     -0.010
 2002.215800     -0.002      0.001     -0.010
 2002.218600     -0.002      0.001     -0.010
 2002.221300     -0.002      0.001     -0.010
 2002.224000     -0.002      0.001     -0.010
 2002.226800     -0.002      0.001     -0.010
 2002.229500     -0.002      0.001     -0.010
 2002.232200     -0.002      0.001     -0.010
 2002.235000     -0.002      0.001     -0.010
 2002.237700     -0.002      0.001     -0.010
 2002.240400     -0.002      0.001     -0.010
 2002.243200     -0.002      0.001     -0.010
 2002.245900     -0.002      0.001     -0.010
 2002.248600     -0.002      0.001     -0.010
 2002.251400     -0.002      0.001     -0.010
 2002.254100     -0.002      0.001     -0.011
 2002.256800     -0.002      0.001     -0.011
 2002.259600     -0.002      0.001     -0.011
 2002.262300     -0.002      0.001     -0.011
 2002.265000     -0.002      0.001     -0.011
 2002.267800     -0.002      0.001     -0.011
 2002.270500     -0.002      0.001     -0.011
 2002.273200     -0.002      0.001     -0.011
 2002.276000     -0.002      0.001     -0.011
 2002.278700     -0.002      0.001     -0.011
 2002.281400     -0.002      0.001     -0.011
 2002.284200     -0.002      0.001     -0.011
 2002.286900     -0.002      0.001     -0.011
 2002.289600     -0.002      0.001     -0.012
 2002.292300     -0.002      0.001     -0.014
 2002.295100     -0.003      0.002     -0.018
 2002.297800     -0.004      0.003     -0.021
 2002.300500     -0.005      0.003     -0.026
 2002.303300     -0.006      0.004     -0.031
 2002.306000     -0.007      0.003     -0.037
 2002.308700     -0.008      0.003     -0.039
 2002.311500     -0.008      0.003     -0.039
 2002.314200     -0.009      0.003     -0.044
 2002.316900     -0.010      0.003     -0.046
 2002.319700     -0.011      0.003     -0.049
 2002.322400     -0.012      0.003     -0.055
 2002.325100     -0.012      0.003     -0.055
 2002.327900     -0.016      0.003     -0.071
 2002.330600     -0.016      0.003     -0.074
 2002.333300     -0.023      0.004     -0.109
 2002.336100     -0.030      0.006     -0.149
 2002.338800     -0.039      0.008     -0.201
 2002.341500     -0.047      0.010     -0.251
 2002.344300     -0.047      0.011     -0.254
 2002.347000     -0.048      0.011     -0.265
 2002.349700     -0.049      0.012     -0.273
 2002.352500     -0.052      0.014     -0.281
 2002.355200     -0.060      0.018     -0.365
 2002.357900     -0.072      0.022     -0.437
 2002.360700     -0.081      0.029     -0.511
 2002.363400     -0.098      0.040     -0.621
 2002.366100     -0.107      0.051     -0.701
 2002.368900     -0.119      0.060     -0.776
 2002.371600     -0.130      0.069     -0.851
 2002.374300     -0.147      0.084     -0.962
 2002.377000     -0.163      0.095     -1.029
 2002.379800     -0.170      0.097     -1.054
 2002.382500     -0.176      0.098     -1.078
 2002.385200     -0.184      0.099     -1.110
 2002.388000     -0.194      0.101     -1.148
 2002.390700     -0.204      0.105     -1.199
 2002.393400     -0.220      0.122     -1.333
 2002.396200     -0.239      0.144     -1.516
 2002.398900     -0.260      0.171     -1.762
 2002.401600     -0.275      0.194     -1.970
 2002.404400     -0.293      0.217     -2.164
 2002.407100     -0.309      0.235     -2.316
 2002.409800     -0.331      0.258     -2.525
 2002.412600     -0.357      0.282     -2.745
 2002.415300     -0.383      0.306     -2.969
 2002.418000     -0.411      0.331     -3.197
 2002.420800     -0.432      0.349     -3.371
 2002.423500     -0.467      0.376     -3.598
 2002.426200     -0.481      0.394     -3.752
 2002.429000     -0.506      0.417     -3.953
 2002.431700     -0.531      0.441     -4.138
 2002.434400     -0.552      0.464     -4.323
 2002.437200     -0.569      0.488     -4.516
 2002.439900     -0.586      0.544     -4.854
 2002.442600     -0.595      0.583     -5.090
 2002.445400     -0.615      0.634     -5.386
 2002.448100     -0.649      0.701     -5.766
 2002.450800     -0.679      0.762     -6.137
 2002.453600     -0.699      0.792     -6.329
 2002.456300     -0.713      0.806     -6.457
 2002.459000     -0.734      0.827     -6.658
 2002.461700     -0.761      0.855     -6.915
 2002.464500     -0.788      0.885     -7.182
 2002.467200     -0.821      0.923     -7.529
 2002.469900     -0.848      0.956     -7.840
 2002.472700     -0.851      0.965     -7.912
 2002.475400     -0.850      0.972     -7.987
 2002.478100     -0.852      0.985     -8.139
 2002.480900     -0.856      1.005     -8.352
 2002.483600     -0.878      1.044     -8.688
 2002.486300     -0.928      1.148     -9.376
 2002.489100     -0.932      1.234     -9.842
 2002.491800     -0.921      1.314    -10.350
 2002.494500     -0.913      1.375    -10.730
