% site name: KAGA
% Time      North     err   East      err    Up       err
% year      mm        mm    mm        mm     mm       mm
2006.4090   -88.1     2.2   148.4     2.3  -155.8    10.1
2006.4390   -85.6     2.3   149.3     2.3  -154.7     3.8
2006.4420   -85.6     2.3   149.1     2.3  -158.3     3.8
2006.4552   -87.2     2.3   149.2     2.3  -166.5     3.9
2006.4990   -85.3     2.4   147.3     2.3  -155.7     3.9
2006.5020   -85.6     2.2   148.1     2.3  -164.8     3.8
2006.5043   -87.4     2.2   146.5     2.3  -147.8     3.8
2006.5072   -86.1     2.1   144.7     2.3  -151.7     3.8
2006.5130   -88.3     2.3   146.4     2.3  -148.6     3.9
2006.5153   -88.0     2.2   147.7     2.3  -147.5     3.9
2006.5240   -86.9     2.2   146.5     2.3  -145.9     3.9
2006.5263   -88.6     2.2   146.7     2.3  -154.5     3.9
2006.5290   -85.6     2.3   146.3     2.3  -152.2     3.9
2006.5320   -87.6     2.3   145.9     2.3  -149.0     3.9
2006.5350   -88.9     2.2   146.4     2.3  -146.1     4.3
2006.5373   -89.0     2.3   146.3     2.3  -151.2     4.0
2006.5400   -86.9     2.2   146.6     2.3  -147.4     3.9
2006.5430   -88.0     2.1   146.9     2.3  -151.1     3.9
2006.5460   -88.4     2.3   148.2     2.3  -152.9     3.9
2006.5482   -87.8     2.2   148.1     2.3  -148.3     3.8
2006.5540   -85.7     2.3   145.3     2.3  -144.3     3.8
2006.5570   -85.9     2.2   145.3     2.2  -148.5     3.8
2006.5592   -86.1     2.2   145.9     2.3  -146.9     4.1
2006.5620   -85.9     2.1   145.4     2.3  -147.0     3.8
2006.5650   -85.9     2.2   145.7     2.3  -144.7     3.8
2006.5673   -86.0     2.2   145.9     2.2  -147.3     3.7
2006.5701   -85.9     2.2   145.8     2.3  -154.4     3.8
2006.5730   -85.9     2.2   145.5     2.3  -148.4     3.9
2006.5760   -87.2     2.3   146.4     2.2  -148.3     3.9
2006.5783   -88.3     2.2   147.0     2.2  -153.7     3.8
2006.5810   -86.3     2.2   146.2     2.3  -149.2     3.9
2006.5840   -86.7     2.2   146.6     2.3  -151.9     3.8
2006.5870   -86.0     2.2   144.9     2.3  -149.4     3.8
2006.5893   -86.6     2.3   144.8     2.3  -147.2     3.8
2006.5920   -86.0     2.3   144.6     2.3  -142.7     3.9
2006.5950   -85.6     2.2   145.2     2.3  -147.3     3.8
2006.5980   -85.0     2.2   144.2     2.3  -144.5     3.8
2006.6002   -86.8     2.2   144.6     2.5  -146.7     3.9
2006.6030   -83.7     2.4   143.2     2.3  -146.7     3.7
2006.6060   -86.7     2.3   142.4     2.3  -147.7     3.8
2006.6090   -86.0     2.3   143.6     2.3  -145.2     3.9
2006.6112   -87.2     2.2   143.8     2.3  -144.3     3.8
2006.6140   -87.1     2.2   142.7     2.3  -142.8     3.8
2006.6170   -86.9     2.2   145.3     2.2  -141.7     3.8
2006.6193   -86.5     2.2   146.6     2.3  -141.6     3.7
2006.6221   -88.3     2.1   148.1     2.3  -138.4     3.7
2006.6250   -87.7     2.3   145.6     2.3  -143.0     3.7
2006.6280   -86.0     2.2   143.4     2.3  -144.2     3.8
