Time            N-Disp    E-Disp    U-Disp
 2002.002700     -0.002      0.015     -0.038
 2002.005500     -0.012      0.044     -0.107
 2002.008200     -0.005      0.055     -0.160
 2002.010900     -0.021      0.086     -0.237
 2002.013700     -0.028      0.104     -0.288
 2002.016400     -0.032      0.118     -0.330
 2002.019100     -0.028      0.128     -0.386
 2002.021900     -0.032      0.138     -0.430
 2002.024600     -0.027      0.153     -0.478
 2002.027300     -0.028      0.155     -0.486
 2002.030100     -0.028      0.158     -0.496
 2002.032800     -0.027      0.159     -0.500
 2002.035500     -0.033      0.170     -0.528
 2002.038300     -0.035      0.180     -0.555
 2002.041000     -0.037      0.186     -0.576
 2002.043700     -0.039      0.197     -0.604
 2002.046400     -0.041      0.207     -0.632
 2002.049200     -0.044      0.214     -0.653
 2002.051900     -0.047      0.216     -0.662
 2002.054600     -0.050      0.218     -0.669
 2002.057400     -0.056      0.222     -0.683
 2002.060100     -0.061      0.224     -0.695
 2002.062800     -0.063      0.225     -0.699
 2002.065600     -0.064      0.225     -0.700
 2002.068300     -0.065      0.226     -0.702
 2002.071000     -0.065      0.226     -0.703
 2002.073800     -0.065      0.226     -0.704
 2002.076500     -0.065      0.227     -0.706
 2002.079200     -0.065      0.229     -0.718
 2002.082000     -0.071      0.234     -0.735
 2002.084700     -0.078      0.241     -0.756
 2002.087400     -0.079      0.242     -0.759
 2002.090200     -0.078      0.244     -0.770
 2002.092900     -0.078      0.245     -0.772
 2002.095600     -0.078      0.246     -0.775
 2002.098400     -0.078      0.246     -0.776
 2002.101100     -0.078      0.246     -0.778
 2002.103800     -0.077      0.248     -0.782
 2002.106600     -0.077      0.248     -0.783
 2002.109300     -0.075      0.250     -0.792
 2002.112000     -0.075      0.250     -0.795
 2002.114800     -0.076      0.251     -0.798
 2002.117500     -0.082      0.260     -0.825
 2002.120200     -0.083      0.283     -0.901
 2002.123000     -0.082      0.285     -0.908
 2002.125700     -0.084      0.288     -0.925
 2002.128400     -0.084      0.292     -0.939
 2002.131100     -0.084      0.294     -0.943
 2002.133900     -0.087      0.300     -0.971
 2002.136600     -0.089      0.306     -0.991
 2002.139300     -0.091      0.310     -1.006
 2002.142100     -0.091      0.311     -1.011
 2002.144800     -0.091      0.312     -1.012
 2002.147500     -0.091      0.312     -1.013
 2002.150300     -0.093      0.315     -1.020
 2002.153000     -0.095      0.321     -1.036
 2002.155700     -0.095      0.333     -1.071
 2002.158500     -0.097      0.341     -1.093
 2002.161200     -0.113      0.353     -1.139
 2002.163900     -0.109      0.423     -1.393
 2002.166700     -0.099      0.440     -1.479
 2002.169400     -0.099      0.444     -1.491
 2002.172100     -0.099      0.445     -1.495
 2002.174900     -0.101      0.449     -1.505
 2002.177600     -0.101      0.450     -1.509
 2002.180300     -0.101      0.451     -1.512
 2002.183100     -0.101      0.452     -1.515
 2002.185800     -0.101      0.453     -1.516
 2002.188500     -0.101      0.453     -1.517
 2002.191300     -0.105      0.455     -1.527
 2002.194000     -0.103      0.482     -1.621
 2002.196700     -0.100      0.492     -1.660
 2002.199500     -0.098      0.494     -1.670
 2002.202200     -0.098      0.494     -1.672
 2002.204900     -0.098      0.495     -1.674
 2002.207700     -0.098      0.496     -1.676
 2002.210400     -0.097      0.496     -1.677
 2002.213100     -0.097      0.497     -1.680
 2002.215800     -0.098      0.500     -1.694
 2002.218600     -0.101      0.507     -1.710
 2002.221300     -0.106      0.521     -1.741
 2002.224000     -0.107      0.525     -1.751
 2002.226800     -0.114      0.535     -1.782
 2002.229500     -0.110      0.547     -1.820
 2002.232200     -0.110      0.549     -1.826
 2002.235000     -0.111      0.551     -1.835
 2002.237700     -0.111      0.556     -1.854
 2002.240400     -0.113      0.560     -1.865
 2002.243200     -0.113      0.560     -1.866
 2002.245900     -0.113      0.561     -1.867
 2002.248600     -0.113      0.561     -1.868
 2002.251400     -0.112      0.563     -1.873
 2002.254100     -0.111      0.563     -1.875
 2002.256800     -0.110      0.564     -1.877
 2002.259600     -0.113      0.569     -1.893
 2002.262300     -0.118      0.593     -1.955
 2002.265000     -0.116      0.604     -1.992
 2002.267800     -0.116      0.606     -1.998
 2002.270500     -0.117      0.612     -2.011
 2002.273200     -0.117      0.612     -2.012
 2002.276000     -0.121      0.619     -2.037
 2002.278700     -0.125      0.630     -2.066
 2002.281400     -0.127      0.640     -2.105
 2002.284200     -0.125      0.643     -2.116
 2002.286900     -0.124      0.643     -2.118
 2002.289600     -0.127      0.649     -2.135
 2002.292300     -0.131      0.661     -2.171
 2002.295100     -0.121      0.674     -2.236
 2002.297800     -0.119      0.686     -2.276
 2002.300500     -0.118      0.688     -2.281
 2002.303300     -0.119      0.691     -2.288
 2002.306000     -0.118      0.695     -2.305
