Time            N-Disp    E-Disp    U-Disp
 2002.002700     -0.002      0.014     -0.035
 2002.005500     -0.011      0.043     -0.102
 2002.008200     -0.005      0.053     -0.152
 2002.010900     -0.021      0.082     -0.223
 2002.013700     -0.028      0.100     -0.268
 2002.016400     -0.033      0.112     -0.305
 2002.019100     -0.029      0.122     -0.361
 2002.021900     -0.032      0.132     -0.404
 2002.024600     -0.027      0.147     -0.451
 2002.027300     -0.028      0.149     -0.460
 2002.030100     -0.029      0.152     -0.470
 2002.032800     -0.028      0.153     -0.473
 2002.035500     -0.034      0.164     -0.500
 2002.038300     -0.036      0.173     -0.527
 2002.041000     -0.037      0.180     -0.547
 2002.043700     -0.039      0.190     -0.574
 2002.046400     -0.041      0.200     -0.603
 2002.049200     -0.044      0.207     -0.623
 2002.051900     -0.047      0.209     -0.630
 2002.054600     -0.050      0.209     -0.631
 2002.057400     -0.055      0.212     -0.639
 2002.060100     -0.060      0.213     -0.642
 2002.062800     -0.062      0.213     -0.641
 2002.065600     -0.062      0.213     -0.638
 2002.068300     -0.062      0.212     -0.634
 2002.071000     -0.062      0.211     -0.631
 2002.073800     -0.062      0.211     -0.629
 2002.076500     -0.062      0.212     -0.632
 2002.079200     -0.062      0.214     -0.642
 2002.082000     -0.068      0.217     -0.651
 2002.084700     -0.074      0.223     -0.667
 2002.087400     -0.074      0.224     -0.669
 2002.090200     -0.074      0.225     -0.680
 2002.092900     -0.073      0.226     -0.682
 2002.095600     -0.073      0.227     -0.685
 2002.098400     -0.073      0.227     -0.685
 2002.101100     -0.073      0.227     -0.685
 2002.103800     -0.073      0.228     -0.687
 2002.106600     -0.073      0.228     -0.687
 2002.109300     -0.071      0.230     -0.697
 2002.112000     -0.071      0.231     -0.700
 2002.114800     -0.072      0.232     -0.704
 2002.117500     -0.077      0.240     -0.726
 2002.120200     -0.078      0.262     -0.800
 2002.123000     -0.077      0.264     -0.808
 2002.125700     -0.079      0.267     -0.823
 2002.128400     -0.079      0.271     -0.837
 2002.131100     -0.079      0.272     -0.840
 2002.133900     -0.082      0.279     -0.866
 2002.136600     -0.084      0.285     -0.887
 2002.139300     -0.086      0.289     -0.902
 2002.142100     -0.086      0.290     -0.907
 2002.144800     -0.086      0.291     -0.908
 2002.147500     -0.086      0.291     -0.909
 2002.150300     -0.087      0.294     -0.916
 2002.153000     -0.089      0.299     -0.931
 2002.155700     -0.089      0.311     -0.966
 2002.158500     -0.091      0.319     -0.988
 2002.161200     -0.107      0.331     -1.034
 2002.163900     -0.101      0.402     -1.289
 2002.166700     -0.091      0.419     -1.373
 2002.169400     -0.091      0.422     -1.385
 2002.172100     -0.091      0.424     -1.389
 2002.174900     -0.093      0.427     -1.398
 2002.177600     -0.093      0.429     -1.403
 2002.180300     -0.093      0.430     -1.406
 2002.183100     -0.093      0.431     -1.409
 2002.185800     -0.092      0.431     -1.411
 2002.188500     -0.092      0.431     -1.411
 2002.191300     -0.097      0.433     -1.420
 2002.194000     -0.094      0.458     -1.506
 2002.196700     -0.090      0.469     -1.545
 2002.199500     -0.088      0.471     -1.555
 2002.202200     -0.089      0.471     -1.555
 2002.204900     -0.088      0.472     -1.557
 2002.207700     -0.087      0.472     -1.558
 2002.210400     -0.087      0.472     -1.559
 2002.213100     -0.086      0.473     -1.563
 2002.215800     -0.087      0.477     -1.578
 2002.218600     -0.090      0.484     -1.594
 2002.221300     -0.095      0.497     -1.624
 2002.224000     -0.096      0.501     -1.635
 2002.226800     -0.102      0.511     -1.663
 2002.229500     -0.098      0.523     -1.701
 2002.232200     -0.099      0.525     -1.707
 2002.235000     -0.099      0.527     -1.717
 2002.237700     -0.099      0.532     -1.736
 2002.240400     -0.101      0.536     -1.747
 2002.243200     -0.101      0.537     -1.748
 2002.245900     -0.101      0.537     -1.748
 2002.248600     -0.100      0.537     -1.749
 2002.251400     -0.099      0.538     -1.754
 2002.254100     -0.098      0.539     -1.756
 2002.256800     -0.097      0.539     -1.757
 2002.259600     -0.100      0.544     -1.772
 2002.262300     -0.104      0.568     -1.832
 2002.265000     -0.102      0.579     -1.870
 2002.267800     -0.103      0.581     -1.874
 2002.270500     -0.103      0.586     -1.888
 2002.273200     -0.103      0.586     -1.888
 2002.276000     -0.106      0.592     -1.905
 2002.278700     -0.110      0.602     -1.930
 2002.281400     -0.112      0.612     -1.969
 2002.284200     -0.110      0.615     -1.979
 2002.286900     -0.109      0.615     -1.981
 2002.289600     -0.112      0.620     -1.994
 2002.292300     -0.115      0.630     -2.025
 2002.295100     -0.106      0.643     -2.089
 2002.297800     -0.103      0.655     -2.127
 2002.300500     -0.102      0.657     -2.131
 2002.303300     -0.102      0.660     -2.138
 2002.306000     -0.101      0.664     -2.155
 2002.308700     -0.100      0.671     -2.177
 2002.311500     -0.099      0.675     -2.185
 2002.314200     -0.103      0.684     -2.224
 2002.316900     -0.098      0.691     -2.264
 2002.319700     -0.097      0.690     -2.262
 2002.322400     -0.098      0.689     -2.254
 2002.325100     -0.098      0.687     -2.247
 2002.327900     -0.100      0.686     -2.244
 2002.330600     -0.100      0.686     -2.242
 2002.333300     -0.103      0.689     -2.251
 2002.336100     -0.105      0.694     -2.261
 2002.338800     -0.111      0.705     -2.284
 2002.341500     -0.116      0.716     -2.305
 2002.344300     -0.118      0.727     -2.341
 2002.347000     -0.116      0.729     -2.352
 2002.349700     -0.116      0.732     -2.359
 2002.352500     -0.116      0.732     -2.358
 2002.355200     -0.108      0.737     -2.391
 2002.357900     -0.093      0.742     -2.416
 2002.360700     -0.087      0.742     -2.405
 2002.363400     -0.079      0.743     -2.386
 2002.366100     -0.074      0.742     -2.372
 2002.368900     -0.065      0.740     -2.370
 2002.371600     -0.058      0.741     -2.363
 2002.374300     -0.047      0.740     -2.330
 2002.377000     -0.041      0.741     -2.315
 2002.379800     -0.042      0.749     -2.320
 2002.382500     -0.039      0.757     -2.317
 2002.385200     -0.033      0.759     -2.305
 2002.388000     -0.027      0.762     -2.287
 2002.390700     -0.019      0.770     -2.272
 2002.393400     -0.007      0.782     -2.245
 2002.396200      0.011      0.785     -2.170
 2002.398900      0.034      0.781     -2.031
 2002.401600      0.048      0.777     -1.914
 2002.404400      0.068      0.769     -1.794
 2002.407100      0.085      0.767     -1.721
 2002.409800      0.110      0.757     -1.581
 2002.412600      0.129      0.745     -1.419
 2002.415300      0.154      0.736     -1.263
