Time            N-Disp    E-Disp    U-Disp
 2002.002700     -0.002      0.015     -0.037
 2002.005500     -0.011      0.043     -0.104
 2002.008200     -0.005      0.055     -0.155
 2002.010900     -0.020      0.084     -0.230
 2002.013700     -0.027      0.103     -0.279
 2002.016400     -0.032      0.116     -0.320
 2002.019100     -0.028      0.126     -0.374
 2002.021900     -0.031      0.137     -0.416
 2002.024600     -0.027      0.152     -0.463
 2002.027300     -0.027      0.154     -0.470
 2002.030100     -0.028      0.156     -0.479
 2002.032800     -0.028      0.157     -0.483
 2002.035500     -0.033      0.168     -0.510
 2002.038300     -0.035      0.178     -0.537
 2002.041000     -0.037      0.185     -0.557
 2002.043700     -0.039      0.195     -0.584
 2002.046400     -0.041      0.205     -0.612
 2002.049200     -0.044      0.212     -0.632
 2002.051900     -0.047      0.214     -0.641
 2002.054600     -0.050      0.216     -0.648
 2002.057400     -0.056      0.220     -0.661
 2002.060100     -0.061      0.222     -0.672
 2002.062800     -0.062      0.223     -0.676
 2002.065600     -0.063      0.223     -0.678
 2002.068300     -0.064      0.223     -0.679
 2002.071000     -0.064      0.224     -0.680
 2002.073800     -0.064      0.224     -0.681
 2002.076500     -0.064      0.224     -0.683
 2002.079200     -0.064      0.227     -0.694
 2002.082000     -0.070      0.232     -0.711
 2002.084700     -0.077      0.239     -0.731
 2002.087400     -0.078      0.240     -0.735
 2002.090200     -0.077      0.241     -0.746
 2002.092900     -0.077      0.242     -0.747
 2002.095600     -0.076      0.243     -0.750
 2002.098400     -0.076      0.243     -0.750
 2002.101100     -0.076      0.244     -0.753
 2002.103800     -0.076      0.245     -0.756
 2002.106600     -0.076      0.245     -0.758
 2002.109300     -0.074      0.247     -0.766
 2002.112000     -0.074      0.247     -0.769
 2002.114800     -0.074      0.248     -0.772
 2002.117500     -0.080      0.257     -0.798
 2002.120200     -0.082      0.280     -0.872
 2002.123000     -0.081      0.282     -0.879
 2002.125700     -0.082      0.285     -0.895
 2002.128400     -0.083      0.289     -0.909
 2002.131100     -0.083      0.291     -0.913
 2002.133900     -0.086      0.297     -0.940
 2002.136600     -0.087      0.304     -0.960
 2002.139300     -0.089      0.307     -0.974
 2002.142100     -0.089      0.308     -0.979
 2002.144800     -0.089      0.309     -0.980
 2002.147500     -0.089      0.309     -0.981
 2002.150300     -0.091      0.312     -0.988
 2002.153000     -0.093      0.318     -1.003
 2002.155700     -0.093      0.330     -1.038
 2002.158500     -0.095      0.338     -1.059
 2002.161200     -0.111      0.349     -1.105
 2002.163900     -0.105      0.419     -1.338
 2002.166700     -0.095      0.436     -1.421
 2002.169400     -0.095      0.439     -1.433
 2002.172100     -0.095      0.441     -1.436
 2002.174900     -0.097      0.444     -1.446
 2002.177600     -0.097      0.446     -1.451
 2002.180300     -0.097      0.447     -1.453
 2002.183100     -0.097      0.448     -1.456
 2002.185800     -0.097      0.449     -1.457
 2002.188500     -0.097      0.449     -1.458
 2002.191300     -0.101      0.450     -1.468
 2002.194000     -0.099      0.477     -1.558
 2002.196700     -0.096      0.488     -1.596
 2002.199500     -0.094      0.490     -1.606
 2002.202200     -0.094      0.490     -1.608
 2002.204900     -0.094      0.491     -1.611
 2002.207700     -0.093      0.491     -1.612
 2002.210400     -0.093      0.492     -1.613
 2002.213100     -0.092      0.492     -1.616
 2002.215800     -0.093      0.496     -1.630
 2002.218600     -0.096      0.503     -1.645
 2002.221300     -0.101      0.516     -1.676
 2002.224000     -0.103      0.520     -1.686
 2002.226800     -0.109      0.531     -1.716
 2002.229500     -0.105      0.542     -1.753
 2002.232200     -0.106      0.544     -1.759
 2002.235000     -0.106      0.546     -1.768
 2002.237700     -0.106      0.551     -1.786
 2002.240400     -0.108      0.555     -1.797
 2002.243200     -0.108      0.555     -1.798
 2002.245900     -0.108      0.556     -1.799
 2002.248600     -0.108      0.556     -1.800
 2002.251400     -0.107      0.558     -1.804
 2002.254100     -0.106      0.558     -1.807
 2002.256800     -0.105      0.558     -1.809
 2002.259600     -0.108      0.564     -1.824
 2002.262300     -0.112      0.587     -1.884
 2002.265000     -0.111      0.599     -1.921
 2002.267800     -0.111      0.600     -1.926
 2002.270500     -0.112      0.605     -1.939
 2002.273200     -0.111      0.606     -1.940
 2002.276000     -0.116      0.613     -1.964
 2002.278700     -0.119      0.624     -1.992
 2002.281400     -0.122      0.634     -2.029
 2002.284200     -0.119      0.636     -2.039
 2002.286900     -0.119      0.637     -2.042
 2002.289600     -0.122      0.642     -2.058
 2002.292300     -0.125      0.654     -2.092
 2002.295100     -0.116      0.667     -2.156
 2002.297800     -0.114      0.680     -2.195
 2002.300500     -0.113      0.681     -2.200
 2002.303300     -0.113      0.684     -2.207
 2002.306000     -0.113      0.689     -2.223
 2002.308700     -0.112      0.696     -2.245
 2002.311500     -0.112      0.700     -2.254
 2002.314200     -0.115      0.709     -2.294
 2002.316900     -0.111      0.717     -2.334
 2002.319700     -0.111      0.717     -2.334
 2002.322400     -0.111      0.717     -2.335
 2002.325100     -0.111      0.717     -2.335
 2002.327900     -0.112      0.717     -2.339
 2002.330600     -0.113      0.717     -2.340
 2002.333300     -0.115      0.722     -2.355
 2002.336100     -0.118      0.728     -2.371
 2002.338800     -0.125      0.739     -2.399
 2002.341500     -0.130      0.753     -2.431
 2002.344300     -0.132      0.764     -2.470
 2002.347000     -0.130      0.767     -2.483
 2002.349700     -0.130      0.770     -2.492
 2002.352500     -0.131      0.771     -2.495
 2002.355200     -0.125      0.777     -2.527
 2002.357900     -0.112      0.782     -2.559
 2002.360700     -0.110      0.782     -2.565
 2002.363400     -0.107      0.782     -2.571
 2002.366100     -0.105      0.782     -2.574
 2002.368900     -0.100      0.781     -2.585
 2002.371600     -0.096      0.781     -2.593
 2002.374300     -0.095      0.781     -2.596
 2002.377000     -0.094      0.782     -2.601
 2002.379800     -0.099      0.789     -2.621
 2002.382500     -0.099      0.796     -2.636
 2002.385200     -0.098      0.799     -2.642
 2002.388000     -0.097      0.801     -2.648
 2002.390700     -0.097      0.809     -2.664
 2002.393400     -0.098      0.822     -2.695
 2002.396200     -0.101      0.829     -2.710
 2002.398900     -0.109      0.834     -2.730
 2002.401600     -0.117      0.840     -2.750
 2002.404400     -0.119      0.842     -2.755
 2002.407100     -0.119      0.847     -2.767
 2002.409800     -0.120      0.849     -2.780
 2002.412600     -0.127      0.852     -2.794
 2002.415300     -0.130      0.856     -2.806
 2002.418000     -0.132      0.857     -2.816
 2002.420800     -0.127      0.870     -2.862
 2002.423500     -0.120      0.880     -2.905
 2002.426200     -0.112      0.893     -2.955
 2002.429000     -0.113      0.899     -2.975
 2002.431700     -0.112      0.905     -2.991
 2002.434400     -0.110      0.907     -3.003
 2002.437200     -0.115      0.927     -3.047
 2002.439900     -0.120      0.943     -3.086
 2002.442600     -0.123      0.951     -3.112
 2002.445400     -0.121      0.953     -3.122
 2002.448100     -0.120      0.954     -3.126
 2002.450800     -0.119      0.955     -3.129
 2002.453600     -0.113      0.959     -3.147
 2002.456300     -0.110      0.973     -3.181
 2002.459000     -0.110      0.975     -3.187
 2002.461700     -0.109      0.975     -3.190
 2002.464500     -0.109      0.976     -3.192
 2002.467200     -0.109      0.976     -3.192
 2002.469900     -0.120      0.985     -3.233
 2002.472700     -0.123      1.015     -3.341
 2002.475400     -0.125      1.029     -3.388
 2002.478100     -0.127      1.040     -3.418
 2002.480900     -0.126      1.041     -3.423
 2002.483600     -0.128      1.043     -3.432
 2002.486300     -0.133      1.048     -3.455
 2002.489100     -0.133      1.061     -3.487
 2002.491800     -0.135      1.064     -3.500
 2002.494500     -0.138      1.065     -3.508
 2002.497300     -0.144      1.068     -3.521
 2002.500000     -0.147      1.070     -3.530
 2002.502700     -0.152      1.072     -3.540
 2002.505500     -0.165      1.088     -3.594
 2002.508200     -0.166      1.095     -3.616
 2002.510900     -0.164      1.097     -3.630
 2002.513700     -0.163      1.098     -3.633
 2002.516400     -0.161      1.098     -3.637
 2002.519100     -0.159      1.097     -3.643
 2002.521900     -0.153      1.096     -3.656
 2002.524600     -0.149      1.096     -3.665
 2002.527300     -0.147      1.100     -3.677
 2002.530100     -0.143      1.114     -3.707
 2002.532800     -0.136      1.126     -3.754
 2002.535500     -0.134      1.134     -3.789
 2002.538300     -0.135      1.138     -3.802
 2002.541000     -0.135      1.140     -3.807
 2002.543700     -0.129      1.173     -3.906
 2002.546400     -0.123      1.200     -3.992
 2002.549200     -0.123      1.216     -4.051
 2002.551900     -0.121      1.228     -4.083
