Time            N-Disp    E-Disp    U-Disp
 2002.002700      0.001     -0.001      0.003
 2002.005500      0.000     -0.001      0.004
 2002.008200      0.000     -0.002      0.009
 2002.010900      0.000     -0.003      0.015
 2002.013700     -0.000     -0.005      0.021
 2002.016400     -0.001     -0.006      0.026
 2002.019100     -0.000     -0.006      0.026
 2002.021900     -0.000     -0.006      0.027
 2002.024600     -0.000     -0.006      0.028
 2002.027300     -0.000     -0.006      0.027
 2002.030100     -0.000     -0.006      0.027
 2002.032800     -0.000     -0.006      0.028
 2002.035500     -0.001     -0.006      0.029
 2002.038300     -0.001     -0.006      0.029
 2002.041000     -0.000     -0.007      0.030
 2002.043700      0.000     -0.007      0.031
 2002.046400      0.000     -0.007      0.031
 2002.049200      0.000     -0.007      0.032
 2002.051900     -0.000     -0.008      0.035
 2002.054600      0.000     -0.009      0.040
 2002.057400      0.001     -0.010      0.047
 2002.060100      0.002     -0.011      0.055
 2002.062800      0.002     -0.012      0.061
 2002.065600      0.002     -0.013      0.066
 2002.068300      0.002     -0.014      0.072
 2002.071000      0.003     -0.015      0.077
 2002.073800      0.003     -0.016      0.080
 2002.076500      0.003     -0.016      0.080
 2002.079200      0.003     -0.016      0.081
 2002.082000      0.004     -0.018      0.090
 2002.084700      0.004     -0.019      0.095
 2002.087400      0.005     -0.020      0.097
 2002.090200      0.005     -0.020      0.097
 2002.092900      0.005     -0.020      0.097
 2002.095600      0.005     -0.020      0.098
 2002.098400      0.005     -0.020      0.099
 2002.101100      0.004     -0.021      0.102
 2002.103800      0.004     -0.021      0.105
 2002.106600      0.004     -0.021      0.106
 2002.109300      0.004     -0.021      0.105
 2002.112000      0.004     -0.021      0.105
 2002.114800      0.004     -0.021      0.104
 2002.117500      0.005     -0.022      0.110
 2002.120200      0.005     -0.022      0.111
 2002.123000      0.005     -0.022      0.112
 2002.125700      0.005     -0.023      0.113
 2002.128400      0.005     -0.023      0.113
 2002.131100      0.005     -0.023      0.114
 2002.133900      0.005     -0.023      0.116
 2002.136600      0.005     -0.023      0.116
 2002.139300      0.005     -0.023      0.115
 2002.142100      0.005     -0.023      0.115
 2002.144800      0.005     -0.023      0.115
 2002.147500      0.005     -0.023      0.115
 2002.150300      0.005     -0.023      0.115
 2002.153000      0.006     -0.023      0.116
 2002.155700      0.006     -0.023      0.117
 2002.158500      0.007     -0.023      0.116
 2002.161200      0.007     -0.023      0.116
 2002.163900      0.008     -0.023      0.115
 2002.166700      0.008     -0.023      0.116
 2002.169400      0.008     -0.023      0.116
 2002.172100      0.008     -0.023      0.116
 2002.174900      0.009     -0.023      0.117
 2002.177600      0.009     -0.023      0.116
 2002.180300      0.009     -0.023      0.116
 2002.183100      0.009     -0.023      0.116
 2002.185800      0.009     -0.023      0.116
 2002.188500      0.009     -0.023      0.116
